id,name_en,name_ar,description_en,description_ar,category_en,category_ar
8935,Ambermax® (Givaudan) - 50% TPM,Ambermax® (Givaudan) - 50% TPM,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8413,Amberspice - Key Accord (Natural) **,Amberspice - Key Accord (Natural) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6017,Amberwood ® F (Symrise),Amberwood ® F (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8752,Ambreine (Natural) (Biolandes),Ambreine (Natural) (Biolandes),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9468,Ambrettex XNM 0512 (IFF) **,Ambrettex XNM 0512 (IFF) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6676,Ambrettolide (Givaudan),Ambrettolide (Givaudan),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9179,Ambrettolide (Natural),Ambrettolide (Natural),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8083,Ambrinol,Ambrinol,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9393,Ambrocenide Crystals (Symrise),Ambrocenide Crystals (Symrise),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
7524,Ambrox® DL (Firmenich),Ambrox® DL (Firmenich),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8180,Ambroxan 10% (DPG),Ambroxan 10% (DPG),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6001,AMBROXAN®,AMBROXAN®,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8445,Amyl Acetate **,Amyl Acetate **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
8446,Amyl Butyrate,Amyl Butyrate,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9686,Amyl Cinnamic Aldehyde **,Amyl Cinnamic Aldehyde **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9180,Amyl Salicylate FFC (Givaudan) **,Amyl Salicylate FFC (Givaudan) **,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
6002,Amyl Vinyl Carbinol,Amyl Vinyl Carbinol,Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9173,Amyris Wood (Haiti),Amyris Wood (Haiti),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
9366,Andrane (IFF),Andrane (IFF),Fragrance ingredient.,Fragrance ingredient.,Others,أخرى
